group,chem,dose,replicate,gene
Nitro-PAH,6-Nitrochrysene,(0.78,s5,MORC1
Drug Therapy,Cisplatin,(3.125,s4,MORC1
Aldehydes,Formaldehyde,(120,s3,RP11-59E19.1
Alkylating Agent,ENU,(400,s3,SLC6A11
Alkylating Agent,MMS,(100,s3,SLC6A11
PAH,5-Methylchrysene,(1.6,s1,LINC00488
PAH,BPDE,(0.125,s1,LINC00488
Drug Therapy,Cyclophosphamide,(18.75,s2,DPPA2
Nitro-PAH,2-Nitrofluorene,(40,s1,SLC6A11
PAH,BPDE,(0.125,s1,RP11-702L6.4
ROS/NOS,Potassium,bromate,s3,SLC6A11
Nitro-PAH,6-Nitrochrysene,(50,s2,RP11-702L6.4
PAH,DBADE,(0.109,s5,SLC6A11
PAH,BPDE,(0.125,s1,SLC6A11
Alkylating Agent,DES,(0.938,s2,MIR4445
PAH,DBPDE,(0.000625,s3,MIR4445
Other,Propylene,oxide,s2,MIR4445
PAH,5-Methylchrysene,(1.6,s2,RP11-457K10.1
Other,AAI,(1.25,s3,RP11-457K10.1
Drug Therapy,Temozolomide,(200,s2,RP11-457K10.1
Aromatic Amine,Benzidine,(200,s2,RP11-457K10.1
Alkylating Agent,MNU,(350,s1,SLC6A11
Nitro-PAH,"1,8-DNP",(8,s3,RP11-457K10.1
Nitro-PAH,6-Nitrochrysene,(50,s1,SLC6A11
Drug Therapy,Cisplatin,(12.5,s1,RP11-457K10.1
Aromatic Amine,MOCA,(37.5,s2,RP11-457K10.1
Nitro-PAH,6-Nitrochrysene,(50,s1,RP11-457K10.1
PAH,DBADE,(0.109,s5,RP11-457K10.1
Aromatic Amine,Benzidine,(200,s3,RP11-457K10.1
Alkylating Agent,DMH,(11.6,s3,RP11-457K10.1
Other,AFB1,(0.25,s2,RP11-457K10.1
PAH,5-Methylchrysene,(1.6,s3,RP11-457K10.1
Drug Therapy,Temozolomide,(200,s3,SLC6A11
Other,AFB1,(0.25,s2,SLC6A11
Alkylating Agent,DES,(0.938,s2,RNU6ATAC15P
PAH,DBC,(3.5,s2,SLC6A1
Drug Therapy,Temozolomide,(200,s2,RP11-553A10.1
PAH,DBC,(3.5,s1,RP11-553A10.1
Alkylating Agent,ENU,(400,s4,SLC6A1
PAH,DBADE,(0.109,s6,PVRL3
Nitro-PAH,3-NBA,(0.1,s2,PVRL3
Alkylating Agent,MMS,(100,s1,SLC6A1
Other,AFB1,(0.25,s1,SLC6A1
Nitro-PAH,"1,8-DNP",(0.125,s2,PVRL3
Alkylating Agent,ENU,(400,s3,PVRL3
Alkylating Agent,MNU,(350,s1,CD96
PAH,DBPDE,(0.000156,s3,CD96
Drug Therapy,Cisplatin,(12.5,s3,CD96
PAH,DBADE,(0.109,s5,CD96
PAH,BaP,(2,s3,CD96
DNA Damage Response Inhibitors,AZ20,(0.9375,s1,CD96
PAH,DBADE,(0.0313,s1,CD96
Radiation,SSR,(1.25,s6,CD96
Nitro-PAH,"1,8-DNP",(8,s2,CD96
Drug Therapy,Ellipticine,(0.375,s3,CD96
PAH,DBPDE,(0.000625,s3,CD96
Other,Furan,(100,s2,CD96
Drug Therapy,Cisplatin,(3.125,s5,CD96
Alkylating Agent,DMS,(0.078,s1,CD96
Radiation,SSR,(1.25,s5,CD96
Other,Sudan,I,s2,CD96
Alkylating Agent,ENU,(400,s3,CD96
PAH,BPDE,(0.125,s3,CD96
Aromatic Amine,MOCA,(37.5,s1,CD96
Other,AAI,(1.25,s3,CD96
Nitro-PAH,6-Nitrochrysene,(50,s2,CD96
Alkylating Agent,DMH,(11.6,s3,CD96
Alkylating Agent,ENU,(400,s3,CD96
PAH,DBPDE,(0.000156,s3,PLCXD2
Drug Therapy,Cisplatin,(12.5,s1,PLCXD2
Heterocyclic Amine,PhIP,(3,s4,PLCXD2
PAH,DBADE,(0.109,s5,PLCXD2
Drug Therapy,Semustine,(700,s3,PHLDB2
Alkylating Agent,DMH,(11.6,s3,PHLDB2
PAH,DBP,(0.0313,s2,PHLDB2
PAH,BPDE,(0.125,s2,PHLDB2
PAH,BPDE,(0.125,s3,PHLDB2
Drug Therapy,Cisplatin,(3.125,s6,PHLDB2
Drug Therapy,Cisplatin,(12.5,s3,PHLDB2
Drug Therapy,Cisplatin,(12.5,s3,PHLDB2
Aldehydes,Acetaldehyde,(12,s1,PHLDB2
Nitro-PAH,"1,8-DNP",(8,s3,PHLDB2
Control,DMSO,Control,s2,PHLDB2
Drug Therapy,Semustine,(700,s3,PHLDB2
Radiation,SSR,(1.25,s4,PHLDB2
Alkylating Agent,MNU,(350,s2,PHLDB2
PAH,5-Methylchrysene,(1.6,s1,PHLDB2
Alkylating Agent,ENU,(400,s3,PHLDB2
Alkylating Agent,DMH,(11.6,s2,PHLDB2
Drug Therapy,Temozolomide,(200,s2,ABHD10
ROS/NOS,Potassium,bromate,s3,ABHD10
Control,Media,Control,s2,HRH1
Nitro-PAH,3-NBA,(0.1,s3,TMPRSS7
Aldehydes,Acetaldehyde,(12,s3,HRH1
Drug Therapy,Temozolomide,(200,s3,GCSAM
Nitro-PAH,"1,8-DNP",(8,s3,HRH1
Drug Therapy,Cyclophosphamide,(18.75,s1,HRH1
PAH,DBADE,(0.109,s5,HRH1
Nitro-PAH,"1,6-DNP",(0.09,s1,SLC9C1
Alkylating Agent,DMH,(11.6,s3,SLC9C1
Nitro-PAH,"1,6-DNP",(0.09,s1,SLC9C1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RP11-90K6.1
Drug Therapy,Cisplatin,(3.125,s5,CD200
PAH,DBADE,(0.109,s6,HRH1
PAH,DBADE,(0.109,s6,HRH1
Aromatic Amine,2-Naphthylamine,(400,s2,BTLA
Radiation,SSR,(1.25,s4,BTLA
ROS/NOS,Potassium,bromate,s5,HRH1
PAH,5-Methylchrysene,(1.6,s3,ATG3
Aromatic Amine,2-Naphthylamine,(200,s4,ATG3
Other,MX,(7,s2,HRH1
Control,DMSO,Control,s1,SLC35A5
Nitro-PAH,"1,8-DNP",(0.125,s1,CCDC80
Control,H2O,Control,s2,CCDC80
PAH,5-Methylchrysene,(1.6,s2,HRH1
Nitro-PAH,3-NBA,(0.1,s2,RP11-572C15.5
Nitro-PAH,6-Nitrochrysene,(50,s2,CD200R1L
Alkylating Agent,DES,(0.938,s2,HRH1
PAH,DBADE,(0.109,s6,CD200R1
Other,Methyleugenol,(1.25,s2,CD200R1
Drug Therapy,Temozolomide,(200,s2,CD200R1
PAH,DBADE,(0.109,s6,CD200R1
Drug Therapy,Temozolomide,(200,s2,CD200R1
Aromatic Amine,Benzidine,(900,s2,HRH1
Radiation,SSR,(1.25,s4,C3orf17
Aromatic Amine,Benzidine,(900,s1,HRH1
Control,H2O,Control,s2,RP11-572M11.1
PAH,DBPDE,(0.000156,s1,RP11-572M11.3
PAH,DBADE,(0.109,s5,BOC
Heterocyclic Amine,PhIP,(4,s3,BOC
Heterocyclic Amine,PhIP,(3,s1,BOC
Other,Propylene,oxide,s3,BOC
Nitro-PAH,6-Nitrochrysene,(0.78,s2,WDR52
Other,AAI,(1.25,s3,WDR52
Nitro-PAH,"1,6-DNP",(0.09,s2,WDR52
PAH,5-Methylchrysene,(1.6,s3,HRH1
PAH,DBADE,(0.109,s6,WDR52
Drug Therapy,Ellipticine,(0.375,s1,WDR52
Other,MX,(7,s1,WDR52
Alkylating Agent,ENU,(400,s3,CNTN6
Alkylating Agent,DES,(0.938,s2,WDR52
Control,DMSO,Control,s1,WDR52
Aromatic Amine,Benzidine,(200,s2,WDR52
Drug Therapy,Cisplatin,(12.5,s1,SPICE1
Nitro-PAH,3-NBA,(0.025,s2,SPICE1
PAH,DBA,(75,s1,SPICE1
PAH,DBADE,(0.109,s5,SPICE1
PAH,DBA,(75,s1,SIDT1
Nitro-PAH,6-Nitrochrysene,(50,s2,SIDT1
Nitro-PAH,6-Nitrochrysene,(0.78,s5,SIDT1
Drug Therapy,Ellipticine,(0.625,s2,SIDT1
PAH,DBADE,(0.109,s1,SIDT1
Alkylating Agent,ENU,(400,s1,SIDT1
PAH,DBADE,(0.109,s5,SIDT1
PAH,DBADE,(0.109,s6,SIDT1
PAH,DBADE,(0.109,s6,SIDT1
Alkylating Agent,ENU,(400,s1,SIDT1
ROS/NOS,Potassium,bromate,s1,SIDT1
ROS/NOS,Potassium,bromate,s4,KIAA2018
PAH,BPDE,(0.125,s1,KIAA2018
Other,AAI,(1.25,s2,KIAA2018
Control,MeOH,Control,s2,ATG7
Nitro-PAH,6-Nitrochrysene,(12.5,s1,NAA50
PAH,DBADE,(0.0313,s1,ATP6V1A
Metal,Cadmium,chloride,s2,ATP6V1A
PAH,BPDE,(0.125,s3,ATP6V1A
PAH,DBADE,(0.0313,s3,GRAMD1C
Alkylating Agent,DES,(0.938,s1,GRAMD1C
PAH,DBA,(75,s2,GRAMD1C
PAH,DBPDE,(0.000625,s2,GRAMD1C
Nitro-PAH,6-Nitrochrysene,(50,s1,GRAMD1C
PAH,DBADE,(0.109,s1,GRAMD1C
Aromatic Amine,Benzidine,(900,s3,GRAMD1C
ROS/NOS,Potassium,bromate,s1,GRAMD1C
PAH,DBADE,(0.109,s5,GRAMD1C
Metal,Nickel,(II),s2,KIAA1407
PAH,BPDE,(0.125,s3,KIAA1407
PAH,DBADE,(0.109,s1,KIAA1407
Other,Propylene,oxide,s1,QTRTD1
Heterocyclic Amine,PhIP,(3,s3,DRD3
PAH,DBADE,(0.109,s6,DRD3
Other,Furan,(100,s3,DRD3
PAH,DBP,(0.0313,s1,DRD3
Drug Therapy,Melphalan,(1.5,s1,DRD3
Nitro-PAH,6-Nitrochrysene,(0.78,s2,DRD3
ROS/NOS,Potassium,bromate,s4,TIGIT
Other,AAI,(1.25,s2,ATG7
PAH,5-Methylchrysene,(1.6,s2,MIR568
PAH,5-Methylchrysene,(1.6,s3,ZBTB20
PAH,DBPDE,(0.000625,s2,ZBTB20
Heterocyclic Amine,IQ,(450,s1,ZBTB20
PAH,DBPDE,(0.000156,s1,ZBTB20
ROS/NOS,Potassium,bromate,s5,ATG7
Aromatic Amine,"2,6-Dimethylaniline",(11,s2,ZBTB20
Nitro-PAH,2-Nitrotoluene,(4.6,s1,ZBTB20
Radiation,SSR,(1.25,s4,ZBTB20
PAH,BPDE,(0.125,s3,ZBTB20
PAH,BPDE,(0.125,s1,ZBTB20
Nitro-PAH,6-Nitrochrysene,(50,s1,ZBTB20
PAH,DBADE,(0.109,s6,ZBTB20
PAH,DBPDE,(0.000156,s3,ZBTB20
PAH,BaP,(0.39,s3,ZBTB20
Aromatic Amine,Benzidine,(900,s1,ZBTB20
Control,MeOH,Control,s2,ZBTB20
Nitro-PAH,6-Nitrochrysene,(0.78,s1,ATG7
Nitro-PAH,6-Nitrochrysene,(50,s2,ZBTB20
Alkylating Agent,ENU,(400,s3,ZBTB20
Aldehydes,Formaldehyde,(120,s3,ZBTB20
PAH,DBADE,(0.0313,s2,ZBTB20
Drug Therapy,Temozolomide,(200,s1,ZBTB20
Alkylating Agent,ENU,(400,s3,ZBTB20
Aldehydes,Formaldehyde,(120,s2,ZBTB20
PAH,5-Methylchrysene,(1.6,s1,ZBTB20
Drug Therapy,Temozolomide,(200,s1,ZBTB20
Nitro-PAH,6-Nitrochrysene,(0.78,s2,ZBTB20
Nitro-PAH,6-Nitrochrysene,(0.78,s2,ZBTB20
Drug Therapy,Semustine,(150,s2,ZBTB20
Drug Therapy,Ellipticine,(0.25,s2,ZBTB20
Other,AAI,(1.25,s3,ZBTB20
Drug Therapy,Cisplatin,(3.125,s5,ZBTB20
Nitro-PAH,"1,8-DNP",(0.125,s3,ZBTB20
Alkylating Agent,DES,(0.938,s2,ZBTB20
Alkylating Agent,DES,(0.938,s2,ZBTB20
PAH,5-Methylchrysene,(1.6,s2,ZBTB20
PAH,BPDE,(0.125,s1,ZBTB20
Alkylating Agent,MNU,(350,s3,ZBTB20
PAH,BPDE,(0.125,s3,ZBTB20
ROS/NOS,Potassium,bromate,s3,ZBTB20
Other,MX,(7,s2,ZBTB20
PAH,BPDE,(0.125,s1,ZBTB20
Heterocyclic Amine,PhIP,(4,s5,ZBTB20
Other,Propylene,oxide,s2,ZBTB20
PAH,BaP,(0.39,s1,ZBTB20
Other,MX,(7,s2,ZBTB20
Metal,Potassium,chromate,s6,ZBTB20
Heterocyclic Amine,PhIP,(4,s4,ZBTB20
Nitro-PAH,6-Nitrochrysene,(50,s1,ZBTB20
Nitro-PAH,6-Nitrochrysene,(0.78,s5,ZBTB20
Control,Media,Control,s1,ZBTB20
PAH,BPDE,(0.125,s1,ZBTB20
Alkylating Agent,ENU,(400,s4,ZBTB20
Heterocyclic Amine,MeIQX,(300,s3,ZBTB20
Alkylating Agent,DES,(0.938,s2,ZBTB20
PAH,DBADE,(0.109,s6,ZBTB20
Control,Media,Control,s3,ZBTB20
Alkylating Agent,ENU,(400,s4,ZBTB20
Aldehydes,Formaldehyde,(85.5,s2,ZBTB20
PAH,BaP,(2,s1,ZBTB20
Aldehydes,Acetaldehyde,(12,s3,ZBTB20
Other,MX,(7,s2,ATG7
Alkylating Agent,DES,(0.938,s2,ZBTB20
Nitro-PAH,6-Nitrochrysene,(50,s2,ZBTB20
PAH,DBADE,(0.109,s5,ZBTB20
Control,H2O,Control,s2,ZBTB20
DNA Damage Response Inhibitors,AZ20,(0.9375,s2,ZBTB20
Control,Media,Control,s2,ZBTB20
Metal,Lead,(II),s2,ZBTB20
Nitro-PAH,6-Nitrochrysene,(0.78,s5,ZBTB20
PAH,BPDE,(0.125,s3,ZBTB20
Other,OTA,(0.08,s1,ZBTB20
Alkylating Agent,DMH,(11.6,s3,ZBTB20
Nitro-PAH,6-Nitrochrysene,(0.78,s1,ZBTB20
PAH,DBADE,(0.0313,s2,ATG7
PAH,DBP,(0.0313,s1,ATG7
Nitro-PAH,"1,8-DNP",(0.125,s2,ZBTB20
PAH,BPDE,(0.125,s1,ATG7
Other,Acrylamide,(9.5,s2,ZBTB20
Metal,Nickel,(II),s2,ZBTB20
Aldehydes,Formaldehyde,(120,s1,ZBTB20
Control,DMSO,Control,s1,ZBTB20
Drug Therapy,Melphalan,(1.5,s2,ZBTB20
ROS/NOS,Potassium,bromate,s1,ZBTB20
Drug Therapy,Carboplatin,(5,s2,ZBTB20
Control,Media,Control,s2,RP11-190P13.2
Drug Therapy,Olaparib,(0.625,s3,RP11-190P13.2
Drug Therapy,Cisplatin,(12.5,s3,ATG7
Nitro-PAH,6-Nitrochrysene,(0.78,s2,ATG7
Drug Therapy,Temozolomide,(200,s2,ATG7
PAH,DBP,(0.0313,s2,ATG7
Aromatic Amine,Benzidine,(900,s1,ATG7
Aromatic Amine,o-Toluidine,(14,s3,GAP43
DNA Damage Response Inhibitors,AZD7762,(1.625,s2,LSAMP
Nitro-PAH,2-Nitrofluorene,(40,s1,LSAMP
Aromatic Amine,4-ABP,(300,s2,ATG7
Metal,Nickel,(II),s4,LSAMP
Heterocyclic Amine,PhIP,(4,s4,LSAMP
Other,Propylene,oxide,s2,LSAMP
Radiation,SSR,(1.25,s4,LSAMP
Other,Furan,(100,s2,LSAMP
Heterocyclic Amine,PhIP,(4,s3,ATG7
Radiation,SSR,(1.25,s5,LSAMP
Nitro-PAH,6-Nitrochrysene,(0.78,s5,LSAMP
Metal,Nickel,(II),s1,LSAMP
Alkylating Agent,DES,(0.938,s2,LSAMP
ROS/NOS,Potassium,bromate,s5,LSAMP
PAH,DBPDE,(0.000156,s1,LSAMP
Drug Therapy,Etoposide,(0.0188,s1,LSAMP
Alkylating Agent,ENU,(400,s3,LSAMP
Nitro-PAH,6-Nitrochrysene,(50,s2,LSAMP
PAH,5-Methylchrysene,(1.6,s1,LSAMP
Drug Therapy,Carboplatin,(5,s3,ATG7
PAH,BPDE,(0.125,s1,LSAMP
Alkylating Agent,MNU,(350,s1,LSAMP
Other,AAI,(1.25,s2,LSAMP
Drug Therapy,Cisplatin,(3.125,s5,LSAMP
Drug Therapy,Temozolomide,(200,s2,LSAMP
Drug Therapy,Temozolomide,(200,s2,LSAMP
ROS/NOS,Potassium,bromate,s4,LSAMP
PAH,DBPDE,(0.000625,s1,LSAMP
PAH,5-Methylchrysene,(1.6,s2,LSAMP
PAH,DBP,(0.0313,s1,LSAMP
Nitro-PAH,"1,8-DNP",(0.125,s1,LSAMP
Drug Therapy,Temozolomide,(200,s3,LSAMP
Nitro-PAH,2-Nitrofluorene,(10,s1,LSAMP
Nitro-PAH,6-Nitrochrysene,(12.5,s1,LSAMP
PAH,DBADE,(0.109,s5,LSAMP
Nitro-PAH,6-Nitrochrysene,(50,s1,LSAMP
PAH,DBADE,(0.109,s6,LSAMP
Other,AAII,(37.5,s5,LSAMP
Alkylating Agent,ENU,(400,s4,LSAMP
Drug Therapy,Ellipticine,(0.375,s1,LSAMP
PAH,DBADE,(0.109,s1,LSAMP
PAH,BPDE,(0.125,s1,LSAMP
Alkylating Agent,DMS,(0.078,s3,LSAMP
PAH,DBAC,(5,s3,LSAMP
PAH,BPDE,(0.125,s2,LSAMP
Nitro-PAH,3-NBA,(0.1,s3,LSAMP
Other,AAI,(1.25,s1,LSAMP
Heterocyclic Amine,PhIP,(3,s2,LSAMP
Metal,Sodium,(meta),s1,LSAMP
PAH,DBAC,(5,s3,LSAMP
PAH,DBC,(1.5,s1,LSAMP
Drug Therapy,Olaparib,(0.625,s2,LSAMP
ROS/NOS,Potassium,bromate,s4,LSAMP
Drug Therapy,Etoposide,(0.0188,s1,LSAMP
PAH,5-Methylchrysene,(1.6,s1,VGLL4
PAH,BPDE,(0.125,s2,LSAMP
Alkylating Agent,ENU,(400,s3,LSAMP
Aldehydes,Formaldehyde,(120,s1,LSAMP
Radiation,SSR,(1.25,s4,LSAMP
Control,MeOH,Control,s3,LSAMP
Aldehydes,Acetaldehyde,(12,s1,LSAMP
Control,Media,Control,s2,LSAMP
PAH,DBPDE,(0.000156,s2,LSAMP
Other,Propylene,oxide,s1,VGLL4
Aromatic Amine,Benzidine,(900,s1,LSAMP
Other,AAI,(1.25,s3,LSAMP
Other,Catechol,(5.5,s2,LSAMP
Radiation,SSR,(1.25,s4,LSAMP
Other,AAI,(1.25,s3,LSAMP
Alkylating Agent,DMH,(11.6,s1,VGLL4
Other,Acrylamide,(9.5,s2,LSAMP
Other,Catechol,(5.5,s2,LSAMP
PAH,DBPDE,(0.000625,s3,LSAMP
ROS/NOS,H2O2,(24.5,s1,LSAMP
PAH,DBADE,(0.109,s5,LSAMP
PAH,BPDE,(0.125,s1,VGLL4
Nitro-PAH,6-Nitrochrysene,(0.78,s2,LSAMP
Nitro-PAH,6-Nitrochrysene,(0.78,s2,LSAMP
Alkylating Agent,ENU,(400,s4,LSAMP
PAH,DBPDE,(0.000156,s3,LSAMP
Aromatic Amine,2-Naphthylamine,(200,s3,LSAMP
PAH,DBADE,(0.109,s1,LSAMP
Radiation,SSR,(1.25,s5,LSAMP
PAH,DBADE,(0.0313,s3,LSAMP
Other,MX,(2.5,s1,LSAMP
PAH,DBPDE,(0.000625,s3,LSAMP
Other,OTA,(0.08,s1,LSAMP
Alkylating Agent,DMH,(11.6,s3,LSAMP
Aromatic Amine,2-Naphthylamine,(200,s3,LSAMP
Nitro-PAH,"1,8-DNP",(8,s1,LSAMP
Aromatic Amine,2-Naphthylamine,(200,s5,LSAMP
Other,AAI,(1.25,s3,LSAMP
Other,MX,(7,s2,LSAMP
Aromatic Amine,Benzidine,(900,s3,LSAMP
PAH,BPDE,(0.125,s3,LSAMP
Alkylating Agent,DMH,(11.6,s2,LSAMP
Control,Media,Control,s3,LSAMP
Drug Therapy,Ellipticine,(0.375,s3,LSAMP
PAH,5-Methylchrysene,(1.6,s3,LSAMP
PAH,DBADE,(0.0313,s3,LSAMP
Drug Therapy,Mechlorethamine,(0.3,s2,LSAMP
Nitro-PAH,"1,8-DNP",(0.125,s1,LSAMP
Alkylating Agent,DES,(0.938,s2,LSAMP
Aromatic Amine,Benzidine,(900,s1,LSAMP
Aromatic Amine,o-Anisidine,(0.85,s1,LSAMP
PAH,BaP,(2,s1,LSAMP
PAH,DBADE,(0.109,s1,LSAMP
Drug Therapy,Ellipticine,(0.375,s3,LSAMP
Nitro-PAH,6-Nitrochrysene,(0.78,s2,LSAMP
Nitro-PAH,6-Nitrochrysene,(0.78,s2,LSAMP
ROS/NOS,Potassium,bromate,s3,LSAMP
PAH,DBA,(75,s1,LSAMP
PAH,BaP,(0.39,s2,LSAMP
Nitro-PAH,2-Nitrofluorene,(10,s2,LSAMP
Radiation,SSR,(1.25,s5,LSAMP
Nitro-PAH,6-Nitrochrysene,(50,s1,LSAMP
Nitro-PAH,3-NBA,(0.025,s2,LSAMP
PAH,BPDE,(0.125,s2,LSAMP
PAH,DBADE,(0.0313,s3,LSAMP
Alkylating Agent,ENU,(400,s4,LSAMP
Nitro-PAH,3-NBA,(0.1,s2,LSAMP
PAH,DBADE,(0.0313,s3,LSAMP
Control,H2O,Control,s1,LSAMP
Heterocyclic Amine,PhIP,(4,s3,LSAMP
Drug Therapy,Mechlorethamine,(0.3,s1,LSAMP
Nitrosamine,N-Nitrosopyrrolidine,(50,s3,LSAMP
Control,DMSO,Control,s1,LSAMP
Nitro-PAH,1-Nitropyrene,(1.75,s2,LSAMP
Alkylating Agent,ENU,(400,s4,LSAMP
PAH,DBADE,(0.0313,s1,LSAMP
Other,AAI,(1.25,s3,LSAMP
PAH,DBPDE,(0.000625,s1,LSAMP
PAH,BPDE,(0.125,s3,LSAMP
Alkylating Agent,DMH,(11.6,s2,VGLL4
Metal,Sodium,(meta),s1,VGLL4
Radiation,SSR,(1.25,s6,LSAMP
PAH,BPDE,(0.125,s1,LSAMP
Drug Therapy,Mechlorethamine,(0.3,s3,LSAMP
Nitro-PAH,6-Nitrochrysene,(0.78,s1,LSAMP
PAH,DBADE,(0.0313,s3,LSAMP
Metal,Nickel,(II),s2,LSAMP
Drug Therapy,Ellipticine,(0.375,s4,LSAMP
Other,Methyleugenol,(1.9,s2,LSAMP
Other,"1,4-Benzoquinone",(5,s1,LSAMP
Metal,Potassium,chromate,s6,LSAMP
Aldehydes,Formaldehyde,(85.5,s3,LSAMP
Alkylating Agent,MNU,(350,s3,LSAMP
PAH,DBP,(0.0039,s4,LSAMP
PAH,DBC,(3.5,s2,LSAMP
Control,Media,Control,s2,LSAMP
Aldehydes,Formaldehyde,(120,s3,LSAMP
Nitro-PAH,3-NBA,(0.025,s3,LSAMP
ROS/NOS,H2O2,(24.5,s2,LSAMP
Other,Furan,(100,s3,RP11-384F7.1
Alkylating Agent,ENU,(400,s1,RP11-384F7.1
Other,AAI,(1.25,s3,RP11-384F7.1
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,RP11-384F7.1
Control,DMSO,Control,s1,RP11-384F7.1
PAH,DBADE,(0.109,s5,RP11-384F7.1
Other,Styrene,oxide,s6,RP11-384F7.1
PAH,DBADE,(0.109,s6,RP11-384F7.1
Alkylating Agent,DMH,(9,s1,RP11-384F7.1
Drug Therapy,Ellipticine,(0.375,s2,RP11-384F7.1
PAH,BPDE,(0.125,s1,RP11-384F7.1
ROS/NOS,Potassium,bromate,s3,RP11-384F7.1
Drug Therapy,Semustine,(700,s2,RP11-384F7.1
PAH,BPDE,(0.125,s1,RP11-384F7.1
PAH,BPDE,(0.125,s2,RP11-384F7.1
PAH,BPDE,(0.125,s1,RP11-384F7.1
Nitro-PAH,6-Nitrochrysene,(50,s1,RP11-384F7.1
PAH,BaP,(0.39,s2,RP11-384F7.1
PAH,BaP,(2,s3,RP11-384F7.1
PAH,DBADE,(0.109,s6,RP11-384F7.1
Other,AFB1,(0.25,s2,RP11-384F7.1
Heterocyclic Amine,PhIP,(4,s5,RP11-384F7.1
Alkylating Agent,MNU,(350,s2,RP11-384F7.1
Drug Therapy,Olaparib,(0.625,s3,RP11-384F7.1
PAH,DBADE,(0.109,s5,RP11-384F7.1
ROS/NOS,Potassium,bromate,s5,RP11-384F7.1
Nitro-PAH,6-Nitrochrysene,(50,s1,RP11-384F7.1
PAH,DBADE,(0.109,s1,RP11-384F7.1
Drug Therapy,Ellipticine,(0.375,s1,RP11-384F7.1
PAH,DBADE,(0.109,s6,RP11-384F7.1
PAH,DBPDE,(0.000156,s3,RP11-384F7.1
Nitro-PAH,"1,8-DNP",(8,s2,RP11-384F7.1
Drug Therapy,Ellipticine,(0.375,s3,RP11-384F7.1
Nitrosamine,N-Nitrosopyrrolidine,(50,s3,RP11-384F7.1
Heterocyclic Amine,PhIP,(3,s2,RP11-384F7.1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RP11-384F7.1
Nitro-PAH,"1,6-DNP",(0.09,s3,IGSF11
Aromatic Amine,MOCA,(37.5,s3,IGSF11
Alkylating Agent,DMH,(11.6,s1,IGSF11
PAH,BPDE,(0.125,s1,IGSF11
PAH,DBC,(3.5,s1,IGSF11
PAH,BPDE,(0.125,s3,IGSF11
PAH,BPDE,(0.125,s3,IGSF11
Heterocyclic Amine,MeAaC,(70,s1,IGSF11
Alkylating Agent,ENU,(400,s4,IGSF11
Control,Media,Control,s1,IGSF11
Alkylating Agent,DES,(0.938,s2,IGSF11
Metal,Nickel,(II),s2,IGSF11
Alkylating Agent,MMS,(100,s3,IGSF11
Nitro-PAH,"1,8-DNP",(8,s2,IGSF11
Alkylating Agent,ENU,(400,s3,IGSF11
PAH,DBPDE,(0.000625,s3,IGSF11
Nitro-PAH,3-NBA,(0.025,s1,IGSF11
Aromatic Amine,2-Naphthylamine,(200,s3,IGSF11
Aromatic Amine,4-ABP,(300,s1,IGSF11
Control,DMSO,Control,s1,IGSF11
Control,DMSO,Control,s1,IGSF11
Nitro-PAH,6-Nitrochrysene,(0.78,s1,IGSF11
Nitro-PAH,6-Nitrochrysene,(0.78,s1,IGSF11
PAH,5-Methylchrysene,(1.6,s1,IGSF11
Other,AAI,(1.25,s3,IGSF11
Nitro-PAH,6-Nitrochrysene,(0.78,s2,IGSF11
PAH,DBADE,(0.109,s6,C3orf30
Metal,Nickel,(II),s2,UPK1B
PAH,DBADE,(0.0313,s1,B4GALT4
Heterocyclic Amine,PhIP,(4,s3,B4GALT4
Nitro-PAH,3-NBA,(0.1,s3,ARHGAP31
DNA Damage Response Inhibitors,AZ20,(0.9375,s2,ARHGAP31
Nitro-PAH,3-NBA,(0.1,s2,ARHGAP31
PAH,BPDE,(0.125,s3,ARHGAP31
PAH,DBADE,(0.109,s6,ARHGAP31
PAH,BPDE,(0.125,s1,TMEM39A
Radiation,SSR,(1.25,s4,POGLUT1
Heterocyclic Amine,PhIP,(4,s4,TIMMDC1
Alkylating Agent,ENU,(400,s3,CD80
Nitro-PAH,3-NBA,(0.025,s3,CD80
Drug Therapy,Cyclophosphamide,(60,s2,ADPRH
Alkylating Agent,ENU,(400,s1,PLA1A
PAH,BPDE,(0.125,s2,PLA1A
PAH,BaP,(2,s2,POPDC2
Nitro-PAH,"1,8-DNP",(8,s2,POPDC2
Drug Therapy,Cisplatin,(12.5,s3,POPDC2
Other,Methyleugenol,(1.9,s2,COX17
Alkylating Agent,MMS,(100,s3,MAATS1
PAH,DBA,(75,s1,MAATS1
Drug Therapy,Cisplatin,(12.5,s1,MAATS1
Aldehydes,Acetaldehyde,(12,s1,MAATS1
Drug Therapy,Ellipticine,(0.375,s2,NR1I2
PAH,DBADE,(0.109,s5,NR1I2
PAH,DBAC,(5,s3,NR1I2
Alkylating Agent,DES,(0.938,s1,GSK3B
Nitro-PAH,6-Nitrochrysene,(12.5,s3,GSK3B
Heterocyclic Amine,PhIP,(4,s5,GSK3B
Drug Therapy,Cisplatin,(12.5,s2,GSK3B
PAH,BaP,(2,s1,GSK3B
Other,MX,(7,s2,GSK3B
